"PT","AU","TI","SO","AB","DI","PY"
" J"," Oliveira, M. do S. P. deFarias Neto, J. T. de"," Repeatability coefficients for characters of raceme and fruitsproduction in euterp palm."," Revista Cientifica Rural"," The aim of this work was to estimate the repeatability coefficient forsix of raceme characters and three of fruits production in euterp palm,to determine the number of evaluations necessary for a real valueprediction of the individual and to compare repeatability coefficientsusing various methodologies. The characters evaluated were fruitsproduction per plant (PFP), number of months in production (NMP) andnumber of raceme per plant (NRP), which were obtained of 72 individualsfrom Germplasm Bank of Oriental Amazonian Embrapa, in Belem, Para, forfive years (1995 to 1999). The characters weight of the raceme (WR),weight of fruits per raceme (WFR); weigh of a hundred fruits (WHF);rachilles number per raceme (RNR); length of the rachis of the raceme(LRR); and revenue of fruits per raceme (RFR) were measured of sevenracemes picked in 83 individuals from the same bank, in 1997. Therepeatibility coefficients were estimated based on the analysis ofvariance (ANAVA), principal component analysis and structural analysis.Most of the characters presented repeatibility coefficient value of lowmagnitude, in all the methodologies, except PFP and WHF. For thecharacter PFP the values varied in according to the methodology used,r=0.36 (ANAVA) and r=0.47 (principal components); while the WHFvariation was of r=0.43 (ANAVA) and r=0.67 (principal components). Thecharacters PFP and WHF can be used in the euterp plants selection. It isnecessary four years and three racems to analyze differences amongindividuals with 80% of certainty, and the principal components analysiswas the most appropriated methodology.",NA," 2011"
" J"," Rodriguez-Matoso, D.Rodriguez-Ruiz, D.Quiroga, M. E.Sarmiento, S.De Saa, Y.Garcia-Manso, J. M."," TENSIOMYGRAPHY, UTILITY AND METHODOLOGY IN THE MUSCULAR ASSESSMENT"," REVISTA INTERNACIONAL DE MEDICINA Y CIENCIAS DE LA ACTIVIDAD FISICA YDEL DEPORTE"," The Tensiomyography (TMG) is a method used to assess muscle tone(stiffness) and the balance between muscular structures, chains musclesflexor-extensor) and extremities (right and left), by analyzing themechanical characteristics and contractile capacity of superficialmuscles by measuring the radial displacement of the transversal fibersin the muscle belly, according to the time at which the contraction.Shows a high repeatibility, but we need to follow protocol previouslyestablished for each assessment: placement and initial pressure of thesensor displacement; duration of stimulation, and the separation betweeneach one; angle for each joint; increases the electrical stimuli and theinterpretation of data must follow the criteria of the individualathlete and the specificity of sport.",NA," 2010"
" J"," Hong, H.Shi, L.Su, Z.Ge, W.Jones, W. D.Czika, W.Miclaus, K.Lambert, C. G.Vega, S. C.Zhang, J.Ning, B.Liu, J.Green, B.Xu, L.Fang, H.Perkins, R.Lin, S. M.Jafari, N.Park, K.Ahn, T.Chierici, M.Furlanello, C.Zhang, L.Wolfinger, R. D.Goodsaid, F.Tong, W."," Assessing sources of inconsistencies in genotypes and their effects ongenome-wide association studies with HapMap samples"," Nature Biotechnology"," The discordance in results of independent genome-wide associationstudies (GWAS) indicates the potential for Type I and Type II errors. Weassessed the repeatibility of current Affymetrix technologies thatsupport GWAS. Reasonable reproducibility was observed for both rawintensity and the genotypes/copy number variants We also assessedconsistencies between different SNP arrays and between genotype callingalgorithms. We observed that the inconsistency in genotypes wasgenerally small at the specimen level To further examine whether thedifferences from genotyping and genotype calling are possible sources ofvariation in GWAS results, an association analysis was applied tocompare the associated SNPs. We observed that the inconsistency ingenotypes not only propagated to the association analysis, but wasamplified in the associated SNPs. Our studies show that inconsistenciesbetween SNP arrays and between genotype calling algorithms are potentialsources for the lack of reproducibility in GWAS results First publishedin The Pharmacogenormics Journal (2010) 10, 364-374;doi:10.1038/tpj.2010.24; published online 6 April 2010"," 10.1038/tpj.2010.24"," 2010"
" J"," Hong, H.Shi, L.Su, Z.Ge, W.Jones, W. D.Czika, W.Miclaus, K.Lambert, C. G.Vega, S. C.Zhang, J.Ning, B.Liu, J.Green, B.Xu, L.Fang, H.Perkins, R.Lin, S. M.Jafari, N.Park, K.Ahn, T.Chierici, M.Furlanello, C.Zhang, L.Wolfinger, R. D.Goodsaid, F.Tong, W."," Assessing sources of inconsistencies in genotypes and their effects ongenome-wide association studies with HapMap samples"," PHARMACOGENOMICS JOURNAL"," The discordance in results of independent genome-wide associationstudies (GWAS) indicates the potential for Type I and Type II errors Weassessed the repeatibility of current Affymetrix technologies thatsupport GWAS Reasonable reproducibility was observed for both rawintensity and the genotypes/copy number variants We also assessedconsistencies between different SNP arrays and between genotype callingalgorithms We observed that the inconsistency in genotypes was generallysmall at the specimen level To further examine whether the differencesfrom genotyping and genotype calling are possible sources of variationin GWAS results, an association analysis was applied to compare theassociated SNPs We observed that the inconsistency in genotypes not onlypropagated to the association analysis, but was amplified in theassociated SNPs Our studies show that inconsistencies between SNP arraysand between genotype calling algorithms are potential sources for thelack of reproducibility in GWAS results First published in ThePharmacogenomics Journal (2010) 10, 364-374, doi 10.1038/tpj.2010.24,published online 6 April 2010"," 10.1038/tpj.2010.24"," 2010"
" J"," Ferreira, Reinaldo de PaulaVasconcelos, Edmar Soares deCruz, Cosme DamiãoBarioni Júnior, WaldomiroRassini, Joaquim BartolomeuFreitas, Alfredo Ribeiro deVilela, DuarteMoreira, Adônis"," Determinação do coeficiente de repetibilidade e estabilização genotípicadas características agronômicas avaliadas em genótipos de alfafa no anode estabelecimento"," Revista Ceres"," Repeatibility coefficients were estimated for dry matter production(DMP), plant height at cutting time (PHC), disease tolerance (DT) andheight at flowering (HF). The characteristics were evaluated in 92genotypes in the years 2004 and 2005. Five cuttings were carried out inthe rain period (November to March) and six cuttings in the dry period(April to September). The experiment was arranged in randomized blockdesign, with two replications. The estimates of the repeatabilitycoefficient were obtained by different methods and, then, the study ofgenotype stabilization was performed. The statistical analyses were doneusing the GENES software. During the dry period, only two cuttings wereenough to achieve 85 % accuracy in the estimation of the real DMP value,whereas in the rain period, five cuttings were required to achieve thesame reliability. Overall, in the rain period a larger number ofevaluations was required to obtain the same data reliability. Forgenotype stabilization, there was increase in reliability by leaving outsome cuttings. The variables DMP and PHC, during the rain period, showedlarger estimates for the repeatability coefficient than the variables DTand HF. "," 10.1590/S0034-737X2010000500012"," 2010"
" J"," Hong, H.Shi, L.Su, Z.Ge, W.Jones, W. D.Czika, W.Miclaus, K.Lambert, C. G.Vega, S. C.Zhang, J.Ning, B.Liu, J.Green, B.Xu, L.Fang, H.Perkins, R.Lin, S. M.Jafari, N.Park, K.Ahn, T.Chierici, M.Furlanello, C.Zhang, L.Wolfinger, R. D.Goodsaid, F.Tong, W."," Assessing sources of inconsistencies in genotypes and their effects ongenome-wide association studies with HapMap samples"," PHARMACOGENOMICS JOURNAL"," The discordance in results of independent genome-wide associationstudies (GWAS) indicates the potential for Type I and Type II errors. Weassessed the repeatibility of current Affymetrix technologies thatsupport GWAS. Reasonable reproducibility was observed for both rawintensity and the genotypes/copy number variants. We also assessedconsistencies between different SNP arrays and between genotype callingalgorithms. We observed that the inconsistency in genotypes wasgenerally small at the specimen level. To further examine whether thedifferences from genotyping and genotype calling are possible sources ofvariation in GWAS results, an association analysis was applied tocompare the associated SNPs. We observed that the inconsistency ingenotypes not only propagated to the association analysis, but wasamplified in the associated SNPs. Our studies show that inconsistenciesbetween SNP arrays and between genotype calling algorithms are potentialsources for the lack of reproducibility in GWAS results. ThePharmacogenomics Journal (2010) 10, 364-374; doi: 10.1038/tpj.2010.24;published online 6 April 2010"," 10.1038/tpj.2010.24"," 2010"
" J"," Hevia, D.Mayo, J. C.Quiros, I.Gomez-Cordoves, C.Sainz, R. M."," Monitoring intracellular melatonin levels in human prostate normal andcancer cells by HPLC"," ANALYTICAL AND BIOANALYTICAL CHEMISTRY"," Melatonin (N-acetyl-5-methoxytryptamine) is a potent endogenousantioxidant and free radical scavenger that has attracted much attentionas a consequence of its multiple biological functions. In addition toother physiological properties, it has clear antiproliferative activityin several types of cancer cell. The concentration of melatoninnecessary to inhibit cell growth is much higher than its bloodphysiological concentrations in some tumor types. For years its indolicnature has impeded proper monitoring, by molecular or immunologicaltechniques, of its uptake by cancer cells. In this work we developed asimple, rapid, and validated analytical method for detection andquantification of MEL inside normal and cancer cells. For this purposewe performed high-performance liquid chromatographic analysis afterliquid-liquid extraction of the indole from biological samples. Themethod was validated, and the correlation coefficient for amounts from0.125 to 1.25 mu g was higher than 0.999, with a range of recovery near100%. Precision was evaluated as repeatibility, and for intermediateprecision, the relative standard deviation was less than 5%. The methodwas used to study the stability of the indole in solution and todetermine intracellular melatonin concentrations in normal (PNT1A) andseveral cancer (LNCaP, DU-145, PC-3) prostate cell lines. IntracellularLOQ/LOD were 7.23/2.83, 23.17/9.07, 4.03/1.83, and 6.51/2.53 nmol L(-1),or 1.82/4.66, 0.56/1.45, 3.26/8.34, and 2.02/5.17 attogram in each cellin PNT1A, LNCaP, DU145, and PC-3 cells, respectively. Because there wasno information about intracellular levels of melatonin inside normal ortumor prostate cells after treatment with the indole, nor a relationshipbetween its antiproliferative activity and its intracellularconcentration, this is the first time that, by using an analyticalmethod combined with measurement of cellular volume by flow cytometry,the intracellular concentration of MEL has been estimated. Also, dataobtained here explain why the antiproliferative properties of MEL varyin different cell types. This is, moreover, the first time that byincreasing the intracellular concentration of melatonin, its antitumorproperties have been promoted in prostate cancer cells. This process canbe monitored by the method developed here."," 10.1007/s00216-010-3653-4"," 2010"
" J"," Dermis, S.Aydogan, E."," Electrochemical study of the antiplatelet agent clopidogrel and itsdetermination using differential pulse voltammetry in bulk form andpharmaceutical preparations with a glassy carbon electrode"," PHARMAZIE"," In the present study, the electroanalytical behaviour of clopidogrel(CLP) bisulfate, an antithrombotic drug, was investigated by cyclicvoltammetry (CV) and differential pulse voltammetry (DPV) techniquesusing a glassy carbon electrode (GCE) The anodic oxidation ofclopidogrel bisulfate was investigated with a GCE to determine theoxidation conditions. The voltammograms of solutions having variousconcentrations of clopidogrel were recorded in order to obtain theoptimum oxidation conditions of this drug on a GCE. To determine theeffects of the nature of the supporting electrolyte, pH and scan rate onthe anodic oxidation reactions, the experiments were performed in 0.2 Msulphuric acid, and in Britton-Robinson (BR) (pH 2-5) and acetate (pH3.5-5 63) buffers with a 10-400 mVs(-1) scan rate interval The oxidationof clopidogrel bisulfate was found to be diffusion-controlled over aconcentration range of 0.08 mM-1.0 mM in pH 3.7 acetate buffer by anoptimized DPV technique. The voltammetric method developed was appliedto the tablet form of pharmaceutical preparation of this compound andthe accuracy, precision, selectivity, sensitivity, repeatibility withinand between days and reproducibility of the proposed method wasinvestigated statistically. The results were compared with thespectrophotometric and HPLC methods developed in our laboratory andfound to be in good agreement. No interference was observed from commonpharmaceutical adjuvants."," 10.1691/ph.2010.9123"," 2010"
" B"," Sengul, G.Baysal, U."," A Fully Automatic Photogrammetric System Design Using a 1.3 MP WebCamera To Determine EEG Electrode Positions"," 2010 15th National Biomedical Engineering Meeting (BIYOMUT 2010)"," In this study a fully automatic fotogrammetric system is designed todetermine the EEG electrode positions in 3D. The proposed system uses a1.3 MP web camera rotating over the subject's head. The camera is drivenby a step motor. The camera takes photos in every 7.2 0 angles duringthe rotation. In order to realize full automation, electrodes arelabeled by colored circular markers and an electrode identificationalgorithm is develeoped for full automation. The proposed method istested by using a realistic head phantom carrying 25 electrodes. Thepositions of the test electrodes are also measured by a conventional 3-Ddigitizer. The measurements are repeated 3 times for repeatibilitypurposes. It is found that 3-d digitizer localizes the electrodes withan average error of 8.46 mm, 7.63 mm and 8.32 mm, while the proposedsystem localizes the electrodes with an average error of 1.76 mm, 1.42mm and 1.53 mm. "," 10.1109/BIYOMUT.2010.5479777"," 2010"
" J"," Silva, Liliana J. G.Pena, AngelinaLino, Celeste M.Fernandez, Monica F.Manes, Jordi"," Fumonisins determination in urine by LC-MS-MS"," ANALYTICAL AND BIOANALYTICAL CHEMISTRY"," The present work shows the optimization and validation results of ananalytical methodology based on imunoaffinity clean-up (IAC) followed byliquid chromatography with tandem mass detection (LC-MS-MS) for theanalysis of the mycotoxins fumonisin B(1) (FB(1)) and B(2) (FB(2)) inhuman urine samples, in order to evaluate fumonisins exposure in twoPortuguese populations. As far as we know, imunoaffinity clean-upprocedure was used, for the first time, in the analysis of fumonisins(FBs) in urine. Using this analytical methodology, the limit ofquantification achieved was 10 ng mL(-1) for FB(1) and for FB(2).Recoveries were higher than 73.4% for fortification levels between 10and 100 ng mL(-1) and intra-day and inter-day repeatibility were lowerthan 8.6%. The natural occurrence of FB(1) and FB(2) in 68 human urinesamples obtained from the central zone of Portugal was studied. None ofthe studied samples presented detectable levels of FB(1) and FB(2)."," 10.1007/s00216-009-3231-9"," 2010"
" B"," Hui Guohua"," A novel temperature sensor based on gold interdigital electrodes andnano ZnO particles"," INFORMATION TECHNOLOGY FOR MANUFACTURING SYSTEMS, PTS 1 AND 2"," Nano ZnO is an important kind of semiconductor materials, and it hasbeen widely used in various single detection fields. In this paper, weprepared nano ZnO powder through direct precipitation method. Wefabricated temperature sensor utilizing the interdigitated Au electrodesdrop-deposited by nano ZnO powder. The response of the sensor totemperature was studied by CHI660 electrical chemical workstation. Theresults proved that the temperature sensor based on nano ZnO materialpresented sensitivity and repeatibility."," 10.4028/www.scientific.net/AMM.20-23.1495"," 2010"
" J"," Lai RongQiu FubaoXu ZhengengOuyang GangfengZhu Fang"," Determination of Copper, Lead and Cadmium in Food by Microwave Digestion- Anodic Stripping Voltammetry"," Journal of Instrumental Analysis"," A method for the determination of Cd, Pb, Cu in food by mircrowavedigestion ( MWD) method as pretreatment procedures combined with anodicstripping voltammetry ( ASV) using a rotating glassy carbon/mercury filmelectrode was proposed. A series of experimental conditions, such as thepressure and temperature of microwave digestion, pH of the buffersolution and deposition potential, were optimized. Under the optimalconditions, the linear ranges of Cu, Pb and Cd were 0. 040 -1. 768, 0.080 - 1. 768 and 0. 040 - 1. 768 mg/L, respectively. The limits ofdetection ( LODs) of Cu, Pb and Cd were 0. 998 4, 0. 998 2 and 0. 997 0,respectively and RSD of repeatabilities were 4. 1%, 0. 92%, 2. 0%,respectively. The spiked recoveries of Cu, Pb and Cd were in the rangeof 98% - 109%, 94% - 103%, 100% - 112%, respectively. The method showedgood sensitivity and repeatibility, and was applied in the determinationof Cu, Pb and Cd in real sample. The results were in good agreement withthose obtained from the atomic emission spectrometry(AAS) method.",NA," 2010"
" J"," Sun XiulanYang TingtingZhang Yinzhi"," Study on Gold Labeled Strip for Detection of Paraquat Residues in Foodby Immune Chromatography"," Journal of Instrumental Analysis"," The colloidal gold was prepared with sodium citrate as reducing agent,and the study of the interaction between the colloidal gold and proteinwas investigated. The optimum parameters were obtained by using 8. 10mug antibody protein for 1 mL colloidal gold in pH 8. 5. A directcompetitive colloidal gold immune chromatographic assay( GICA) wasconstructed by using the colloidal gold antibody as analysis probe,PQ-h-OVA as competitive antigen and goat anti-rabbit IgG as controlantibody. The optimum concentration of coating antigen was 0. 50 g/L,the antigen and the gold colloidal sol were 1. 0 muL per strip and 5. 0muL per strip, respectively, and mass concentration of theanti-antibody(IgG) was 1. 0 LL per strip(0. 11 g/L). The lowestdetectable amount was found to be 10 mug/ L and the detection time waswithin 5 min. The cross reactivity was less than 0. 10%. The methodshowed good repeatibility and stability, and the test strips could bepreserved in 5 months.",NA," 2010"
" J"," Kowalska, AnnaPuscinska, ElzbietaCzerniawska, JustynaGoljan-Geremek, AnnaCzystowska, MonikaRozy, AdrianaChorostowska-Wynimko, JoannaGorecka, Dorota"," [Markers of fibrosis and inflammation in exhaled breath condensate (EBC)and bronchoalveolar lavage fluid (BALF) of patients with pulmonarysarcoidosis -- a pilot study]."," Pneumonologia i alergologia polska"," INTRODUCTION: Sarcoidosis is a disease of unknown etiology. Little isknown of predictive factors of fibrosis. It was suggested that PAI-1,uPA, TGF-beta1, VEGF, IL-8, TNF-alpha influence this process.AIMS: To assess airway inflammatory and fibrosis markers in EBC insarcoidosis and the effect of fiberoptic bronchoscopy (FOB),bronchoalveolar lavage fluid (BALF), transbronchial lung biopsy (TBLB)and bronchial mucosa membrane biopsy on their production in the airways.MATERIAL AND METHODS: The study group consisted of 11 patients (5 women,6 men; mean age 40 +/- 9 yrs, mean +/- SD) with sarcoidosis stage I-III.PAI-1 (ng/ml), uPA (ng/ml), TGF-beta1 (pg/ml), VEGF (pg/ml), IL-8(pg/ml), TNF-alpha (pg/ml) levels were measured in BALF and EBCcollected before and 48 hours after FOB.RESULTS: No significant changes in EBC levels of VEGF, PAI-1, TGF-beta1,TNF-alpha (respectively: 8.02 +/- 4.97 pg/ml; 1.1 +/- 1.2 ng/ml; 2909.7+/- 206.6 pg/ml; 10.7 +/- 19.9 pg/ml) after FOB were observed whencompared to baseline. In contrast, IL-8 concentration in EBC (pg/ml)decreased after FOB (0.073 +/- 0.13 v. 0.061 +/- 0.1, p = 0.006) and wassignificantly lower than in BALF (BALF 0.95 +/- 0.62, p < 0.05). Also,mean level of VEGF was higher in BALF than in EBC both pre- and post-FOB (BALF 66.38 +/- 36.95, EBC pre-FOB 6.75 +/- 3.67 and EBC post-FOB8.02 +/- 4.97). Significant relationship between TNF-alpha in post-FOBEBC and BALF was also shown (b = 0.63, p = 0.04).CONCLUSIONS: FOB does not significantly affect levels of airwayinflammation and fibrosis markers present in EBC before and after FOB;they were also comparable to the concentrations marked by BALF. The lackof correlation between markers levels in EBC and BALF indicates thatthese methods are not equivalent. Due to repeatibility, and lessinvasive, simple method of EBC test it seems reasonable to continue theresearch on the larger number of patients.",NA," 2010"
" J"," Ferreira, R. de P.Vasconcelos, E. S. deCruz, C. D.Barioni Junior, W.Rassini, J. B.Freitas, A. R. deVilela, D.Moreira, A."," Determination of genotype stabilization and repeatability coefficientfor agronomic traits in alfalfa genotypes in the establishment year."," Revista Ceres"," Repeatibility coefficients were estimated for dry matter production(DMP), plant height at cutting time (PHC), disease tolerance (DT) andheight at flowering (HF). The characteristics were evaluated in 92genotypes in the years 2004 and 2005. Five cuttings were carried out inthe rain period (November to March) and six cuttings in the dry period(April to September). The experiment was arranged in randomized blockdesign, with two replications. The estimates of the repeatabilitycoefficient were obtained by different methods and, then, the study ofgenotype stabilization was performed. The statistical analyses were doneusing the GENES software. During the dry period, only two cuttings wereenough to achieve 85% accuracy in the estimation of the real DMP value,whereas in the rain period, five cuttings were required to achieve thesame reliability. Overall, in the rain period a larger number ofevaluations was required to obtain the same data reliability. Forgenotype stabilization, there was increase in reliability by leaving outsome cuttings. The variables DMP and PHC, during the rain period, showedlarger estimates for the repeatability coefficient than the variables DTand HF.",NA," 2010"
" J"," Dossi, NicoloSusmel, SabinaToniolo, RosannaPizzariello, AndreaBontempelli, Gino"," Application of microchip electrophoresis with electrochemical detectionto environmental aldehyde monitoring"," ELECTROPHORESIS"," A method based on microchip electrophoresis with electrochemicaldetection has been developed for the simultaneous determination at tracelevels of the main small-chain aldehydes (formaldehyde, acetaldehyde and2-propenal) present in the atmosphere. Sampling was performed by forcingatmospheres through silica-gel cartridges coated with2,4-dinitrophenylhydrazine (DNPH), where aldehydes were derivatized toform the corresponding hydrazones, which were then injected and elutedinto the electrophoresis system. Factors affecting both separation anddetection processes were optimized, with best performance achieved byapplying a voltage of 2500V both in the separation and in theelectrokinetic injection (5 s) and using a 15 mM borate buffer (pH 9.2)added with 25 mM of SDS and 20%v/v ACN plus 10%v/v 1-propanol. Underthese optimal conditions, well satisfactory resolution could beachieved, so that the analytes could be separated and detected withinabout 400 s, by applying a detection potential of -1.0 V versus Ag/Ag/Clto the glassy carbon-working electrode. The recorded peaks werecharacterized by both a good repeatibility (RSD < 3%) and a lineardependence over a wide concentration range (2-100 mu g/mL). Detectionlimits, estimated for a SIN of 3, equal to 9.5, 7.2 and 9.2 mu M wereinferred for the DNPH derivatives of formaldehyde, acetaldehyde,2-propenal, respectively. The application of the method to aldehydeanalysis in real air samples is also presented."," 10.1002/elps.200900297"," 2009"
" J"," Guerra-Iglesias, DaniloLuis Espinoza-Villavicencio, JosePalacios-Espinosa, AlejandroGonzalez-Pena, DianelysRodriguez-Almeida, FelipeGuillen-Trujillo, Ariel"," (Co)variance components of open days in Santa Gertrudis cattle"," TECNICA PECUARIA EN MEXICO"," In order to estimate the genetic parameters of open days (OD), data fromSanta Gertrudis cattle in the Turiguano Island, Cuba, were analyzed. Thefirst eight calvings of cows in 15 herds were considered. The sampleincluded 16,209 calvings of 3,065 cows' daughters of 85 sires and 2,610dams. Data was analyzed using the animal model, with the ASREMLsoftware. Four models were used: The univariate model (UM) for eachindependent calving; the repeatibility model (RM) which included allcalvings; the bivariate model (BM) to estimate genetic correlationsbetween OD in the different parities; and the random regression model(RRM). OD mean was 168.9 d with a trend to decrease from parities 1 to4. OD heritability (h(2)) estimated by the UM and RRM increased fromparity 1 (0.02 +/- 0.02) to parity 7 (0.20 +/- 0.08). Geneticcorrelations among OD for different parities were high, particularly forconsecutive parities (>= 0.90). Results show that OD heritabilityestimated using the RM does not differ from the values found in otherdairy or beef cattle breeds. Despite of the fact that estimates obtainedincreased with both the LTM and the RRM, OD h(2) model, together withthe variation found, limit the usefulness of this trait as a selectioncriterion for Santa Gertrudis cattle in Cuba.",NA," 2009"
" J"," Sato, FumiakiMyomoto, AkiraTsuchiya, SokenTerasawa, KazuyaTsujimoto, GozohShimizu, Kazuharu"," Repeatability and comparability of microRNA microarray."," Proceedings of the American Association for Cancer Research AnnualMeeting",NA,NA," 2009"
" B"," Palic, D.Coetzee, S. E.Modika, K. Y.Filipovic, S."," Protein Dispersibility Index as an indicator of the degree of full fatsoybean heat treatment."," 1st Workshop Feed-to-Food FP7 REGPOT-3. XIII Symposium feed technology,Proceedings.  Novi Sad, Serbia, 29 September-1 October, 2009"," Full fat soybeans (FFSB) intended for use in monogastric nutrition needto undergo heat treatment, so that present anti-nutritional factors canbe inactivated. Under- or over-treatment will decrease the level ofamino acids available to the animal. There are a number of laboratorymethods that can be used to estimate the adequacy of FFSB processing,one of them being the Protein Dispersibility Index (PDI). In this paper,the results of an inter-laboratory study have been presented, with anaim to confirm the PDI globally accepted values of between 15 and 28 foradequately processed soybean. Seven FFSB samples were dry extruded attemperatures from 110°C to 164°C and assessed in the trial withchickens. Eight laboratories have been determining the PDI according tothe official AOCS method. PDI range of 8.50-10.30 has been obtained fordescribing adequately extruded full fat soybean. Repeatibility limitr=2.11 and reproducibility limit R=7.73 were obtained.",NA," 2009"
" B"," Koelstra, SanderPatras, Ioannis"," THE FAST-3D SPATIO-TEMPORAL INTEREST REGION DETECTOR"," 2009 10TH INTERNATIONAL WORKSHOP ON IMAGE ANALYSIS FOR MULTIMEDIAINTERACTIVE SERVICES"," Spatio-temporal interest region detectors can be used in the analysis ofvideo to determine sparse, informative regions as candidates for featureextraction. In this paper we compare existing detectors and introducethe new FAST-3d detector, loosely based on the FAST spatial interestregion detector. We compare the invariance of detectors to rotation,scale and compression by measuring the similarity between detectedinterest regions in original and transformed versions of videos. Wemeasure both the repeatibility and introduce a new similarity measurebased on mutual information. The FAST-3D detector is shown to be on parwith the other detectors, while showing a significant increase in speed."," 10.1109/WIAMIS.2009.5031478"," 2009"
" J"," Borkovcova, I.Janouskova, E.Drackova, M.Janstova, B.Vorlova, L."," Determination of Sterols in Dairy Products and Vegetable Fats by HPLCand GC Methods"," CZECH JOURNAL OF FOOD SCIENCES"," Cholesterol concentrations in goat milk, goat milk cheeses, ewe's milk,ewes milk cheeses, dairy bioproducts, and concentrations of cholesterol,stigmasterol and sitosterol in butter, butter with added vegetable fatsand margarines were evaluated by RP HPLC method. Parallel analyses bycapillary GC were performed. Prior to the final chromatographic analysesthe saponification step was used, followed by the extraction of theunsaponificable residue into n-hexane. Parameters of RP HPLC method werecompared with parameters of GC determination. The detection limits (LOD)determinated on the bases of blank samples analysis were 5.2 mg/kg forcholesterol, 4.8 mg/kg for stigmasterol and 14.7 mg/kg for sitosterol.Recovery ranged between 80-92%, repeatibility expressed as RSD of 12parallel samples measurements was 4.2-6.8%. Accuracy tested on the SRM1845 Whole Egg Powder (NIST) was 95.7%.",NA," 2009"
" J"," Park, Sang HyunMorrison, Gerald L."," THE EXPERIMETAL EVALUATION OF THE PERFORMANCE OF MULTIPHASE FLOW METER:EFFECT OF THE DISTANCE BETWEEN TWO METERS"," FEDSM2009, VOL 2"," In the previous studies of slotted flow meters, the repeatibility andreproducibility were studied under different flow conditions anddifferent configurations. In accordance with these work, the presentstudy examines the affects of the distance between the slotted plate.The preset 5D distance is expanded to the 10D. The flow coefficient, KY,the pressure drop, and the uncertainty analysis dependence upon thischange is examined. There are definite changes in the results betweenthe 5D distance and the 10D distance. As a base line, the flowcoefficient, KY, showed 0.8% to 2% difference between the 5D and the 10Ddistance case. Depending upon the upstream flow conditions, thereproducibility of the slotted flow meter was affected. The pressuredrop increased as the upstream Reynolds number increases. The resultfrom the analysis of a water cut meter mounted downstream of a slottedflow meter showed that there are definitive relationships between theoutput of the water cut meter and the parameters of the flow.",NA," 2009"
" J"," LI Li-junCHEN Chang-dongCHENG HaoCAI ZhuoZHONG LiangLI Si-guangWU Jian-ling"," Study on Electrochemiluminescence Behaviors of ChlorpromazineHydrochloride-Tris(2,2'-bipyridyl)ruthenium(Ⅱ) System at MultiwallCarbon Nanotubes Modified Electrode"," Journal of Instrumental Analysis"," A multiwall carbon nanotubes modified glassy-carbonelectrode(MWCNTs/GCE) was pre-pared at the bare GCE. The electrochemicaland electrochemiluminescencial behaviors of chlorproma zinehydrochloride(CPZ) and Ru(bpy)~(2+)_3 at the modified electrode werestudied. The results indica-ted that Ru(bpy)~(2+)_3 exhibited a goodelectrochemical activity and ECL response at the modified electrode, inwhich MWCNTs not only enlarged electroactive specific surface area ofelectrode, but also accelerated the rate of electron transfer betweenthe redox-active Ru(bpy)~(2+)_3 and the electrode. The addition of CPZwould further lead to an enhancement of ECL intensity of Ru(bpy)~(2+)_3.Based on this, an electrochemiluminescence method for determination ofCPZ was established. Under optimal conditions, the calibration curveshowed a good linearity in the range of 1.0*10~(-6) -4. 0 * 10~(-4)mol/L with a detection limit(S/N = 3 ) of 6.0 * 10~(-7) mol/L. The RSDfor determination of 6. 0 * 10~(-5) mol/L CPZ(n=13) was 2. 50% . Thepresented method had the advantage of good repeatibility andsensitivity, and was applied in the determination of CPZ in urinesamples with satisfactory results.",NA," 2009"
" J"," WU Xi-meiZHU Bing-huiZHONG Zhi-xiongYANG Xing-fen"," Simultaneous Determination of Six Glucocorticoid Drugs in ChineseTraditional Medicine by High Performance Liquid Chromatography-TandemMass Spectrometry"," Journal of Instrumental Analysis"," A high performance liquid chromatography-tandem mass spectrometry(HPLC-MS/MS) method was established for the determination of sixglucocorticoid drugs, prednisone, dexamethasone, betamethasone,triamcinolone, beclomethasone, and clobetasol in Chinese traditionalmedi-cine. The sample was extracted with acetonitrile, and cleaned up bydispersive solid-phase extraction with PSA sorbent. The separation ofsix glucocorticoids was achieved on Zobax SB C_(18) column (4. 6 mm *150 mm, 5mum). Identification of glucocorticoid was based on retentiontime and characteris-tic fragment ions. Under the optimal conditions,the assay was linear over the range of 1.5 -300 mg/kg. The spikedrecoveries were in the range of 85%-102% . The method has obviousadvanta-ges of simplicity, sensitivity and good repeatibility, and wassuitable for simultaneous determination of six glucocorticoids in theChinese traditional medicine.",NA," 2009"
